13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
13826,ashamed; bashful | cjk ideograph
13829,(same as u+929c 銜 u+5563 啣) to hold in the mouth | cjk ideograph
13830,to laugh at; to deride; to jeer at, to snore | cjk ideograph
13832,able to take a correct view of things; to response correctly (said of small children), sound; echo | cjk ideograph
13833,to make sound; to speak; (cant.) to tickle, squeeze | cjk ideograph
13834,the abrupt and hasty sound of the crowd | cjk ideograph
13835,sound; echo, difficult; troublesome | cjk ideograph
13836,(non-classical form of 噱) to laugh without stopping, loud laughter | cjk ideograph
13837,sound of rat; sound of insects | cjk ideograph
13838,(simplified form) the roars of a tiger | cjk ideograph
13840,loud; to roar | cjk ideograph
13841,to curse, to swear and oath, incantations | cjk ideograph
13843,prolix speech, (same as 讕) to make a false charge; to lay a false accusation | cjk ideograph
13844,eat, to bite, to gnaw, (a dialect) usually at the end of a sentence; tone (of one's speech) | cjk ideograph
13845,(non-classical form of 喊) (standard form of 婪) to call; to halloo, covetous; avaricious | cjk ideograph
13846,to make a disturbance; to quarrel; to wrangle | cjk ideograph
13847,whisper; to whistle | cjk ideograph
13849,to groan; to moan | cjk ideograph
13850,angry appearance; to look furious; the roaring of a tiger | cjk ideograph
13851,(non-classical form of 嵌) a deep valley, piece of music in minority group | cjk ideograph
13852,(non-classical form of 雔) a kind of silkworm, pair of birds; couple; companion; to match, corresponding, proper | cjk ideograph
13853,to take in; to absorb, (non-classical form of 罱) a kind of spring fishing net; a kind of small net with a handle used to catch fishes or birds | cjk ideograph
13854,sound of yelling while towing a boat; (sanskrit) to call out | cjk ideograph
13856,to close; to stop up; to obstruct | cjk ideograph
13857,(same as 柙) a pen for wild beasts; a cage for prisoners | cjk ideograph
13858,a round cave; a round hole | cjk ideograph
13859,compasses, (same as u+5713 圓) round; circular | cjk ideograph
13860,circle of the moving water | cjk ideograph
13861,(same as 囮) to inveigle; to decoy, a decoy-bird; a go-between; a medium | cjk ideograph
13862,wall made of soil, used in name of places | cjk ideograph
13863,(same as 序) precedence, order, orderly, the east and west walls of the parlor | cjk ideograph
13864,deep; profound, empty; hollow, quite; peaceful | cjk ideograph
13865,to mate; to pair | cjk ideograph
13866,(same as 耗) to waste, to destroy, to diminish; hence it came to mean, a rat, heedless; careless; inattentive; rough and coarse | cjk ideograph
13867,(a variant of 阱) to fall into a well, a pit; a pitfall; a hole; a gully, to involve; to entrap | cjk ideograph
13868,(same as 坳) a hollow in the ground; a cavity, (same as 物) matter; substance, all living creatures, things in general, the affairs of this world, things or matters outside oneself, others, goods, the tibetan classical text means buddha | cjk ideograph
13869,(same as 坳) a hollow in the ground; a cavity, undulating | cjk ideograph
13872,(interchangeable 斟) name of a old country; used in name of a place | cjk ideograph
13873,(same as 坍) to fall into ruins; to collapse | cjk ideograph
13874,a cove; a bay, a bend or nook in the hills, the outside part of a curved bank; the curve of a bow | cjk ideograph
13875,(same as 丘) a hillock or mound | cjk ideograph
13876,(same as 坐) to sit, a seat | cjk ideograph
13877,name of a place; in fujian province | cjk ideograph
13878,(ancient form of 桀) a hen-roost, cruel, the last ruler of the xia dynasty | cjk ideograph
13879,(same as 艾) mugwort, artemisia or any plant which produces moxa punk, general name for plants like mint | cjk ideograph
13880,(same as 葬) to bury, (ancient form of 坐) to sit, a seat | cjk ideograph
13881,(non-classical form of 垐) to spread soil on the road, pave the road with soil, (ancient form of 堲) sickness; illness; disease | cjk ideograph
13882,cultivated land; to till lands, a clod of earth | cjk ideograph
13883,to stop up; to close against; to restrain, to dam a stream and change its direction, to conceal a mound | cjk ideograph
13885,to cultivate, plant; to care for plants | cjk ideograph
13887,(same as 涅) to fill up, as a hole, black mud; slime, to stop up; to block; to cork | cjk ideograph
13888,a vegetable-plot, to plough; to till lands, among dikes and fields | cjk ideograph
13889,dust; dirt; a smear, (same as 牧) name of a place in old times | cjk ideograph
13890,wall; fence, (interchangeable with 兑) a hole | cjk ideograph
13891,a cavity; hole of a mound or an altar of earth | cjk ideograph
13892,below; under; low, (same as 陛) the steps to the throne, to ascend steps | cjk ideograph
13893,(same as 堡) a walled village, an earth-work; a petty military station, subdivision of a township; a ward in a city | cjk ideograph
13895,place trampled by cattle and horses | cjk ideograph
13896,name of a place in shanxi province | cjk ideograph
13897,(same as 腆) prosperous; affluence, good; virtuous, to make strong -- as liquors | cjk ideograph
13898,(same as 場) an area of level ground; an open space, a threshing floor, arena for drill, etc. a place, to pile a sand-hills | cjk ideograph
13900,(a simplified form) | cjk ideograph
13901,name of a place in today's guangdong province | cjk ideograph
13902,breach of a tank; pond, (a dialect) to cover up; to conceal; to hide; to bury | cjk ideograph
13903,caverns; a grotto, a cellar, a cave-dwelling, to make a cave -- for dwelling | cjk ideograph
13904,to move, to hang down; to let fall, (same as 垛) a target, a battlement, to add up; to pile up | cjk ideograph
13905,(same as 宇) the canopy of heaven; space, to cover; to shelter | cjk ideograph
13906,(same as 野) wild; uncultivated; a wilderness, rustic, savage | cjk ideograph
13907,earth; land; soil; ground; territory, opium | cjk ideograph
13908,(non-classical form of 韓) a fence, name of a star, a small feudal state, old name for korea | cjk ideograph
13909,(same as 塊) a lump, a piece of, a fraction | cjk ideograph
13911,(same as 塊) a lump of earth; a lump, rugged; uneven | cjk ideograph
13912,used in naming a place | cjk ideograph
13913,to smear; to daub, to erase; to blot out, mud, mire, to plaster a wall with mud | cjk ideograph
13914,red colored hard and solid mud (soil; clay; earth) | cjk ideograph
13915,a person's name in old times | cjk ideograph
13916,(ancient and corrupted form of u+81fa 臺) a lookout, a tower, a terrace, a platform, a stage | cjk ideograph
13917,a dike; a barrier; an embankment | cjk ideograph
13918,a small mountain; a hill | cjk ideograph
13919,(a dialect) low-lying (ground) on the side of a river or lake, (a variant 塱) name of a place in guangdong | cjk ideograph
13920,dust; dirt; a smear, (same as 曀) the sun hidden by clouds, obscure | cjk ideograph
13921,a kind of edible mushroom | cjk ideograph
13922,(same as 墁 鏝) a trowel; a plaster; a trowel for plastering | cjk ideograph
13923,to pile a sand-hills | cjk ideograph
13924,(same as 罅) a crack in earthenware, a split; rip or break apart; thus -- a grudge | cjk ideograph
13925,muddy | cjk ideograph
13926,(used in place names) | cjk ideograph
13927,(same as 塯) earthenware; a kind of rice container | cjk ideograph
13928,(same as 畿) the royal domains set apart in ancient times for the emperor | cjk ideograph
13929,an enclosing wall | cjk ideograph
13930,dark; the sun hidden by clouds, obscure | cjk ideograph
13931,a fountain or spring out from the underground | cjk ideograph
13932,(ancient form of 垠) a bank; a boundary | cjk ideograph
13934,a tower, pagoda | cjk ideograph
13935,(same as 藝) skill, ability in handicraft, a craft, an art, a calling, a trade, an accomplishment | cjk ideograph
13936,name of a place in ancient times | cjk ideograph
13937,earthenware used to bake cakes in northern china | cjk ideograph
13938,(same as 壅) to stop up; to obstruct | cjk ideograph
13939,ruggedness of the road; difficulties of the way; bad luck, unable to reach one's aim | cjk ideograph
13940,to conceal; to hide, to shade; to darken | cjk ideograph
13941,(ancient form of 臺) a lookout, a tower, a terrace, a platform; a stage | cjk ideograph
13942,(large seal type of 堂) a hall; a reception room; a meeting-place, a court of justice | cjk ideograph
13943,low-lying area, to accumulate soil; to store up soil | cjk ideograph
13944,(non-classical form 墣) a clod of earth; a lump of earth; a lump | cjk ideograph
13945,a damp; a marsh, (interchangeable 夢) | cjk ideograph
13946,(same as 逵 馗) cross-road; a thorough-fare; a center from which nine roads lead out, to accumulate soil, to store up soil | cjk ideograph
13947,(non-classical form of 廛) living space for one family in ancient times, ground allotted to a retainer, a shop; a market place | cjk ideograph
13948,(same as 壘) a military wall, a rampart, to pile up, a pile | cjk ideograph
13950,(same as 嶨) hills with lots of big rocks | cjk ideograph
13952,lofty, dangerous; critical, (same as 虧) to destroy; to injure; to damage | cjk ideograph
13953,the long tail feathers which curl up; to elevate; to raise the head; warped, (interchangeable 翹) long tail feathers, to raise, outstanding | cjk ideograph
13954,dust; dirt, a cellar, a caverns | cjk ideograph
13955,to take a hint; a group of chinese characters the construction of which suggests the meaning, the fate; good luck or bad are in the pot; don't expose; or leak out | cjk ideograph
13957,to worship of god, to praise; many; much | cjk ideograph
13958,to do something in an old way; use the old method; to go to the old road | cjk ideograph
13959,draw the feet up; to refuse to advance, to summarize; to gather; to collect, name of an old country, (same as u+9350 鍐) a headstall; ornament on a bridle; (cant.) to jump up | cjk ideograph
13961,(corrupted form) to make a profit on sell and buy; the profit in business, (interchangeable 嬴) a overplus; gain; profit; abundance | cjk ideograph
13962,much; many; numerous, great; big; vast | cjk ideograph
13963,much; many; numerous, great; big; vast | cjk ideograph
13964,(same as 夥) a band; a company; a partner; an assistant | cjk ideograph
13965,much; many; numerous, to get more profit, to estimate more | cjk ideograph
13967,(corrupted form) to scatter; to disperse, to give the reins to; to allow to run wild; unstable; light; featherbrained | cjk ideograph
13968,(same as 套) a case; a wrapper; a covering; a snare, to encase; to slip over | cjk ideograph
13970,concealed the stolen goods in one's dress | cjk ideograph
13971,tie-beams of a small boat | cjk ideograph
13972,instrument of torture used in ancient times, loud, an evil doer all the times, (same as 幸) to rejoice, fortunate; prosperous | cjk ideograph
13973,great; big; vast, (same as 弼) to aid; to assist; as in the government, (interchangeable 佛) buddha | cjk ideograph
13974,(said of truth) to come out to the open; to be known by all, (ancient form 澤) glossy; shining | cjk ideograph
13975,with a big mouth, great; big; vast | cjk ideograph
13976,(interchangeable 伴) a partner; a companion, (same as 赫) bright; luminous, glorious (same as 扶) to support; to prop up; to help | cjk ideograph
13978,big; great; vast, very, liberal, bark (as a dog) | cjk ideograph
13979,corpulent, abundant; flourishing; plenteous | cjk ideograph
13980,with great power; vigorous; very strong; with great force, (same as 域) a frontier; a boundary; region, great; big; vast | cjk ideograph
13981,(same as 奎) the stride made by a man, name of a star, a kind of tree | cjk ideograph
13982,terror; horror; fear | cjk ideograph
13983,(non-classical form) a kind of animal; with head looks like rabbit and feet deer, small rabbit | cjk ideograph
13984,full grown; fat; plump, fertile; rich, big and clumsy | cjk ideograph
13985,standing without a straight back | cjk ideograph
13986,(ancient form of 奴) a slave; a servant, term of depreciation, (ancient form of 侮) to insult; to ridicule | cjk ideograph
13987,(ancient form of u+59e3 姣 u+5b0c 嬌) handsome; pretty, cunning, meretricious allurements, to insult; to disgrace, licentious; profligate; lewd; (cant.) amorous, in love with | cjk ideograph
13988,a lady officer of the monarch's palace in old times | cjk ideograph
13989,to become associated with each other in good manners and politeness | cjk ideograph
13990,(ancient form of u+59ec 姬) a charming girl, a charming concubine; a monarch's wife | cjk ideograph
13991,(same as 嬐) agile; adroit fast; quick; prompt, neat; tidy; orderly, to raise the head; to look up | cjk ideograph
13992,used in girl's name | cjk ideograph
